sensor_1,71.8,1614229149172
sensor_3,77.96,1614229149184
sensor_5,78.05,1614229149184
sensor_7,45.03,1614229149184
sensor_9,62.61,1614229149184
sensor_1,72.16,1614229150185
sensor_4,78.08,1614229150185
sensor_5,78.27,1614229150185
sensor_7,45.64,1614229150185
sensor_9,60.47,1614229150185
sensor_1,71.22,1614229151185
sensor_3,76.05,1614229151186
sensor_5,78.73,1614229151186
sensor_7,45.32,1614229151186
sensor_9,58.41,1614229151187
sensor_1,70.15,1614229152187
sensor_3,74.64,1614229152188
sensor_5,77.63,1614229152188
sensor_7,46.47,1614229152189
sensor_9,57.54,1614229152189
sensor_1,68.65,1614229153190
sensor_3,75.41,1614229153190
sensor_2,77.73,1614229153190
sensor_7,45.44,1614229153190
sensor_9,58.25,1614229153190
sensor_2,69.15,1614229154191
sensor_3,75.44,1614229154192
sensor_5,76.3,1614229154192
sensor_7,44.54,1614229154193
sensor_4,56.79,1614229154193
sensor_1,68.78,1614229155193
sensor_3,74.99,1614229155193
sensor_5,76.14,1614229155193
sensor_7,45.05,1614229155193
sensor_9,58.43,1614229155193
sensor_1,67.17,1614229156194
sensor_3,77.0,1614229156194
sensor_5,74.79,1614229156194
sensor_7,44.45,1614229156194
sensor_9,57.71,1614229156194
sensor_1,66.49,1614229157194
sensor_3,76.6,1614229157194
sensor_5,74.39,1614229157194
sensor_7,44.64,1614229157194
sensor_9,59.01,1614229157194
sensor_1,64.92,1614229158195
sensor_3,77.37,1614229158195
sensor_5,72.7,1614229158195
sensor_7,45.83,1614229158195
sensor_9,58.17,1614229158195
sensor_1,64.94,1614229159195
sensor_3,77.64,1614229159195
sensor_5,72.63,1614229159196
sensor_7,47.64,1614229159196
sensor_9,57.84,1614229159197
sensor_1,65.98,1614229160197
sensor_3,76.25,1614229160197
sensor_5,72.66,1614229160197
sensor_7,46.81,1614229160197
sensor_9,57.27,1614229160197
sensor_1,66.54,1614229161198
sensor_3,77.92,1614229161198
sensor_5,71.79,1614229161198
sensor_7,47.23,1614229161198
sensor_9,58.01,1614229161198
sensor_1,66.8,1614229162198
sensor_3,79.51,1614229162198
sensor_5,71.3,1614229162198
sensor_7,49.73,1614229162198
sensor_9,59.03,1614229162198
sensor_1,66.09,1614229163199
sensor_3,78.62,1614229163199
sensor_5,71.92,1614229163199
sensor_7,50.64,1614229163199
sensor_9,59.21,1614229163199
